id_sonda	id_gen
ILMN_1736007	['ENSG00000121410', 'ENSG00000268230']
ILMN_1653355	['ENSG00000187537', 'ENSG00000198062', 'ENSG00000222036']
ILMN_1717783	['ENSG00000198062', 'ENSG00000241838']
ILMN_1705025	['ENSG00000187537', 'ENSG00000198062', 'ENSG00000222036']
ILMN_1700461	['ENSG00000108825', 'ENSG00000266967']
ILMN_1753388	['ENSG00000154263', 'ENSG00000251595']
ILMN_2070570	['ENSG00000154263', 'ENSG00000182903', 'ENSG00000251595']
ILMN_2232084	['ENSG00000182903', 'ENSG00000251595']
ILMN_2193980	['ENSG00000115657', 'ENSG00000284820']
ILMN_1713008	['ENSG00000121270', 'ENSG00000261538']
ILMN_1709092	['ENSG00000243064', 'ENSG00000291052']
ILMN_2284941	['ENSG00000285292', 'ENSG00000285480']
ILMN_1781999	['ENSG00000033050', 'ENSG00000285292']
ILMN_1708922	['ENSG00000097007', 'ENSG00000288570']
ILMN_1660199	['ENSG00000167315', 'ENSG00000207367', 'ENSG00000233585']
ILMN_1761058	['ENSG00000240303', 'ENSG00000274810']
ILMN_2339410	['ENSG00000159640', 'ENSG00000264813']
ILMN_1779984	['ENSG00000159640', 'ENSG00000264813']
ILMN_1667018	['ENSG00000130234', 'ENSG00000285602']
ILMN_1764321	['ENSG00000177465', 'ENSG00000288797']
ILMN_1705637	['ENSG00000100312', 'ENSG00000175509']
ILMN_1737418	['ENSG00000164398', 'ENSG00000281938']
ILMN_2278242	['ENSG00000164398', 'ENSG00000281938']
ILMN_1657592	['ENSG00000066813', 'ENSG00000183747']
ILMN_1685952	['ENSG00000005187', 'ENSG00000200893']
ILMN_1801698	['ENSG00000183549', 'ENSG00000260762']
ILMN_1766966	['ENSG00000183549', 'ENSG00000260762']
ILMN_1683883	['ENSG00000114786', 'ENSG00000243989']
ILMN_1783312	['ENSG00000271968', 'ENSG00000290844']
ILMN_1806275	['ENSG00000213638', 'ENSG00000227500']
ILMN_1807372	['ENSG00000128271', 'ENSG00000258555']
ILMN_1790757	['ENSG00000239900', 'ENSG00000284431']
ILMN_2240009	['ENSG00000185100', 'ENSG00000203485']
ILMN_1657862	['ENSG00000101444', 'ENSG00000272945']
ILMN_1782679	['ENSG00000063438', 'ENSG00000288622']
ILMN_2103841	['ENSG00000110711', 'ENSG00000276769']
ILMN_2338038	['ENSG00000162433', 'ENSG00000263535']
ILMN_1798249	['ENSG00000162433', 'ENSG00000263535']
ILMN_1668617	['ENSG00000151632', 'ENSG00000187134']
ILMN_1687757	['ENSG00000187134', 'ENSG00000196139', 'ENSG00000198610']
ILMN_1677043	['ENSG00000053371', 'ENSG00000200403']
ILMN_1687508	['ENSG00000164904', 'ENSG00000251400']
ILMN_1761804	['ENSG00000143149', 'ENSG00000206990']
ILMN_1681374	['ENSG00000149925', 'ENSG00000285043']
ILMN_1741148	['ENSG00000149925', 'ENSG00000285043']
ILMN_1730304	['ENSG00000139133', 'ENSG00000175548']
ILMN_1660856	['ENSG00000253710', 'ENSG00000253797']
ILMN_1782084	['ENSG00000189366', 'ENSG00000291096']
ILMN_1732809	['ENSG00000086848', 'ENSG00000258529']
ILMN_2137544	['ENSG00000262943', 'ENSG00000291084']
ILMN_1735987	['ENSG00000262943', 'ENSG00000291084']
ILMN_1797432	['ENSG00000164729', 'ENSG00000259224']
ILMN_1715988	['ENSG00000104643', 'ENSG00000177710']
ILMN_1713315	['ENSG00000104643', 'ENSG00000177710', 'ENSG00000236396', 'ENSG00000267773']
ILMN_2194619	['ENSG00000104643', 'ENSG00000177710']
ILMN_1759670	['ENSG00000242110', 'ENSG00000289791']
ILMN_2367172	['ENSG00000242110', 'ENSG00000273294']
ILMN_1792741	['ENSG00000242110', 'ENSG00000273294']
ILMN_1738233	['ENSG00000173540', 'ENSG00000176020']
ILMN_1665331	['ENSG00000145020', 'ENSG00000283189']
ILMN_1797796	['ENSG00000174876', 'ENSG00000187733', 'ENSG00000237763']
ILMN_2294762	['ENSG00000174876', 'ENSG00000187733', 'ENSG00000237763']
ILMN_2408219	['ENSG00000174876', 'ENSG00000187733', 'ENSG00000237763']
ILMN_2094262	['ENSG00000174876', 'ENSG00000187733', 'ENSG00000236085', 'ENSG00000237763', 'ENSG00000240038', 'ENSG00000243480']
ILMN_2094261	['ENSG00000174876', 'ENSG00000187733', 'ENSG00000237763']
ILMN_1726327	['ENSG00000174876', 'ENSG00000187733', 'ENSG00000237763']
ILMN_1663313	['ENSG00000174876', 'ENSG00000187733', 'ENSG00000237763']
ILMN_1719031	['ENSG00000174876', 'ENSG00000187733', 'ENSG00000237763', 'ENSG00000240038', 'ENSG00000243480']
ILMN_2131123	['ENSG00000227408', 'ENSG00000243480']
ILMN_1801303	['ENSG00000227408', 'ENSG00000243480']
ILMN_1751102	['ENSG00000227408', 'ENSG00000243480']
ILMN_1801606	['ENSG00000196704', 'ENSG00000214174']
ILMN_1664435	['ENSG00000153107', 'ENSG00000233673']
ILMN_1804812	['ENSG00000153107', 'ENSG00000204745']
